,dtype,n_values,n_nan_total,n_non_numeric_values,n_posinf,n_neginf
JNJ-16259685 (BRD:BRD-K25596805-001-01-8),float64,248,243,0,0,0
OXONIC-ACID (BRD:BRD-K31468676-237-01-8),float64,248,243,0,0,0
RIBOFLAVIN (BRD:BRD-K70246307-001-04-1),float64,248,243,0,0,0
AMPROLIUM (BRD:BRD-K90027121-003-01-7),float64,248,243,0,0,0
CINNARAZINE (BRD:BRD-K07220430-001-18-4),float64,248,242,0,0,0
GS-39783 (BRD:BRD-K75478907-001-02-3),float64,248,242,0,0,0
METHYLPHENIDATE (BRD:BRD-A19585813-003-03-3),float64,248,241,0,0,0
ESTRAMUSTINE-PHOSPHATE (BRD:BRD-K00077635-304-01-2),float64,248,241,0,0,0
OXCARBAZEPINE (BRD:BRD-K04196797-001-24-4),float64,248,241,0,0,0
LY364947 (BRD:BRD-K06234293-001-04-2),float64,248,241,0,0,0
GIDAZEPAM (BRD:BRD-K22588750-001-07-0),float64,248,241,0,0,0
PALMITOYLETHANOLAMIDE (BRD:BRD-K68095457-001-10-1),float64,248,241,0,0,0
CYTARABINE (BRD:BRD-K71847383-001-12-5),float64,248,241,0,0,0
HYDROCORTISONE (BRD:BRD-K93568044-001-32-0),float64,248,241,0,0,0
FELBAMATE (BRD:BRD-K99107520-001-24-1),float64,248,241,0,0,0
BENDROFLUMETHIAZIDE (BRD:BRD-A80017228-001-25-7),float64,248,240,0,0,0
FAVIPIRAVIR (BRD:BRD-K04264130-001-01-4),float64,248,240,0,0,0
BAY-K-8644-(S)-(-) (BRD:BRD-K14329163-001-03-9),float64,248,240,0,0,0
LIDOCAINE (BRD:BRD-K52662033-003-21-2),float64,248,240,0,0,0
GAMMA-AMINOBUTYRIC-ACID (BRD:BRD-K77245796-003-01-6),float64,248,240,0,0,0
TYRPHOSTIN-AG-494 (BRD:BRD-K34533029-001-08-5),float64,248,239,0,0,0
GIMERACIL (BRD:BRD-K35687421-001-02-5),float64,248,239,0,0,0
S26948 (BRD:BRD-K48826825-001-01-8),float64,248,239,0,0,0
BRIGATINIB (BRD:BRD-K56981171-001-01-0),float64,248,239,0,0,0
OSELTAMIVIR-PHOSPHATE (BRD:BRD-K76011241-001-01-8),float64,248,239,0,0,0
NALTREXONE (BRD:BRD-K88172511-003-20-3),float64,248,239,0,0,0
SEVELAMER (BRD:BRD-U45393375-000-01-6),float64,248,239,0,0,0
PROTIRELIN (BRD:BRD-A16997652-001-02-3),float64,248,238,0,0,0
TROLOX (BRD:BRD-A17846016-001-13-9),float64,248,238,0,0,0
ISOETHARINE (BRD:BRD-A24587114-066-22-5),float64,248,238,0,0,0
CLOFOCTOL (BRD:BRD-K02900412-001-11-3),float64,248,238,0,0,0
GW-501516 (BRD:BRD-K14880289-001-02-2),float64,248,238,0,0,0
PARACHLOROPHENOL (BRD:BRD-K40992116-001-09-7),float64,248,238,0,0,0
QUINETHAZONE (BRD:BRD-A59303141-001-10-4),float64,248,237,0,0,0
CEFDINIR (BRD:BRD-K15766189-001-09-8),float64,248,237,0,0,0
REMOXIPRIDE (BRD:BRD-K54094468-003-11-1),float64,248,237,0,0,0
BW-180C (BRD:BRD-K57927309-001-01-7),float64,248,237,0,0,0
CI-844 (BRD:BRD-K83022601-001-01-0),float64,248,237,0,0,0
COLISTIN-B-SULFATE (BRD:BRD-A36456202-001-01-3),float64,248,236,0,0,0
D-4476 (BRD:BRD-K09132007-001-07-5),float64,248,236,0,0,0
SUFENTANIL (BRD:BRD-K21547160-001-01-4),float64,248,236,0,0,0
NILUTAMIDE (BRD:BRD-K23566484-001-15-1),float64,248,236,0,0,0
ATENOLOL-(-) (BRD:BRD-K44993696-001-12-3),float64,248,236,0,0,0
METYRAPONE (BRD:BRD-K46862739-001-14-3),float64,248,236,0,0,0
RUCINOL (BRD:BRD-K61036791-001-01-6),float64,248,236,0,0,0
4-METHYLHISTAMINE (BRD:BRD-K70821460-300-02-4),float64,248,236,0,0,0
ESTRONE (BRD:BRD-K81839095-001-30-1),float64,248,236,0,0,0
FK-888 (BRD:BRD-K83508485-001-02-7),float64,248,236,0,0,0
IPRONIAZID (BRD:BRD-K88568253-011-19-9),float64,248,236,0,0,0
LEUCOVORIN (BRD:BRD-A75919782-399-02-6),float64,248,235,0,0,0
4-IODO-6-PHENYLPYRIMIDINE (BRD:BRD-K25690923-001-02-4),float64,248,235,0,0,0
ACETAZOLAMIDE (BRD:BRD-K43457670-001-27-8),float64,248,235,0,0,0
ENZALUTAMIDE (BRD:BRD-K56851771-001-06-8),float64,248,235,0,0,0
RIBAVIRIN (BRD:BRD-K60369935-001-18-3),float64,248,235,0,0,0
7-AMINOCEPHALOSPORANIC-ACID (BRD:BRD-K65377893-001-07-4),float64,248,235,0,0,0
CARBACHOL (BRD:BRD-K75037734-003-13-9),float64,248,235,0,0,0
ALMOREXANT (BRD:BRD-K84810405-003-01-1),float64,248,235,0,0,0
SOBETIROME (BRD:BRD-K85406984-001-01-0),float64,248,235,0,0,0
PHENELZINE (BRD:BRD-K87024524-065-17-7),float64,248,235,0,0,0
TILETAMINE (BRD:BRD-A30582499-003-05-1),float64,248,234,0,0,0
CIBENZOLINE (BRD:BRD-K34251960-036-01-6),float64,248,234,0,0,0
METRONIDAZOLE (BRD:BRD-K52020312-001-26-8),float64,248,234,0,0,0
SALIDROSIDE (BRD:BRD-K66030860-001-03-6),float64,248,234,0,0,0
GW-788388 (BRD:BRD-K78086729-001-02-7),float64,248,234,0,0,0
NEMONAPRIDE (BRD:BRD-M80207679-001-01-5),float64,248,234,0,0,0
ICI-162846 (BRD:BRD-K11071038-001-01-7),float64,248,233,0,0,0
