,dtype,n_values,n_nan_total,n_non_numeric_values,n_posinf,n_neginf
MASP2,float64,248,244,0,0,0
PRKN,float64,248,244,0,0,0
BMP10,float64,248,244,0,0,0
UTS2,float64,248,244,0,0,0
ECEL1,float64,248,244,0,0,0
IGHG4,float64,248,244,0,0,0
CHRNA1,float64,248,244,0,0,0
EDNRA,float64,248,244,0,0,0
IL3RA,float64,248,244,0,0,0
TNNT3,float64,248,244,0,0,0
MFAP4,float64,248,244,0,0,0
GDF10,float64,248,244,0,0,0
DLX5,float64,248,244,0,0,0
EMX2,float64,248,244,0,0,0
AOX1,float64,248,244,0,0,0
DMPK,float64,248,244,0,0,0
TMEM44,float64,248,244,0,0,0
XKR7,float64,248,244,0,0,0
SLC35D3,float64,248,244,0,0,0
LRRTM3,float64,248,244,0,0,0
RNF217,float64,248,244,0,0,0
PHF21B,float64,248,244,0,0,0
UGT1A8,float64,248,244,0,0,0
PRDM6,float64,248,244,0,0,0
KLK14,float64,248,244,0,0,0
ZNF391,float64,248,244,0,0,0
MAPK8IP1,float64,248,244,0,0,0
SHISA3,float64,248,243,0,0,0
ARHGEF35,float64,248,243,0,0,0
IGLON5,float64,248,243,0,0,0
CLCA1,float64,248,243,0,0,0
PCDH17,float64,248,243,0,0,0
ST8SIA5,float64,248,243,0,0,0
CXCL13,float64,248,243,0,0,0
PLIN1,float64,248,243,0,0,0
AVIL,float64,248,243,0,0,0
CCN4,float64,248,243,0,0,0
NPY,float64,248,243,0,0,0
IL2RA,float64,248,243,0,0,0
GZMB,float64,248,243,0,0,0
PSG2,float64,248,243,0,0,0
IL2RB,float64,248,243,0,0,0
ALOX15,float64,248,243,0,0,0
PVALB,float64,248,243,0,0,0
POU1F1,float64,248,243,0,0,0
CD1B,float64,248,243,0,0,0
CSF2RB,float64,248,243,0,0,0
EVA1C,float64,248,243,0,0,0
IRX4,float64,248,243,0,0,0
TFF2,float64,248,243,0,0,0
TNFRSF9,float64,248,243,0,0,0
CCNI,float64,248,243,0,0,0
GUCA2B,float64,248,243,0,0,0
RFTN2,float64,248,243,0,0,0
VAX1,float64,248,243,0,0,0
PRR9,float64,248,243,0,0,0
TTC22,float64,248,243,0,0,0
FSTL4,float64,248,243,0,0,0
MPZL3,float64,248,243,0,0,0
ZNF605,float64,248,243,0,0,0
FJX1,float64,248,243,0,0,0
ABCA9,float64,248,243,0,0,0
