,dtype,n_values,n_nan_total,n_non_numeric_values,n_posinf,n_neginf
TSPAN6,float64,248,0,0,0,0
TNMD,float64,248,0,0,0,0
DPM1,float64,248,0,0,0,0
SCYL3,float64,248,0,0,0,0
FIRRM,float64,248,0,0,0,0
FGR,float64,248,0,0,0,0
CFH,float64,248,0,0,0,0
FUCA2,float64,248,0,0,0,0
GCLC,float64,248,0,0,0,0
NFYA,float64,248,0,0,0,0
STPG1,float64,248,0,0,0,0
NIPAL3,float64,248,0,0,0,0
LAS1L,float64,248,0,0,0,0
ENPP4,float64,248,0,0,0,0
SEMA3F,float64,248,0,0,0,0
CFTR,float64,248,0,0,0,0
ANKIB1,float64,248,0,0,0,0
CYP51A1,float64,248,0,0,0,0
KRIT1,float64,248,0,0,0,0
RAD52,float64,248,0,0,0,0
MYH16,float64,248,0,0,0,0
BAD,float64,248,0,0,0,0
LAP3,float64,248,0,0,0,0
CD99,float64,248,0,0,0,0
HS3ST1,float64,248,0,0,0,0
AOC1,float64,248,0,0,0,0
WNT16,float64,248,0,0,0,0
HECW1,float64,248,0,0,0,0
MAD1L1,float64,248,0,0,0,0
LASP1,float64,248,0,0,0,0
SNX11,float64,248,0,0,0,0
TMEM176A,float64,248,0,0,0,0
M6PR,float64,248,0,0,0,0
KLHL13,float64,248,0,0,0,0
CYP26B1,float64,248,0,0,0,0
ICA1,float64,248,0,0,0,0
DBNDD1,float64,248,0,0,0,0
ALS2,float64,248,0,0,0,0
CASP10,float64,248,0,0,0,0
CFLAR,float64,248,0,0,0,0
TFPI,float64,248,0,0,0,0
NDUFAF7,float64,248,0,0,0,0
RBM5,float64,248,0,0,0,0
MTMR7,float64,248,0,0,0,0
SLC7A2,float64,248,0,0,0,0
ARF5,float64,248,0,0,0,0
SARM1,float64,248,0,0,0,0
POLDIP2,float64,248,0,0,0,0
PLXND1,float64,248,0,0,0,0
AK2,float64,248,0,0,0,0
CD38,float64,248,0,0,0,0
FKBP4,float64,248,0,0,0,0
KDM1A,float64,248,0,0,0,0
RBM6,float64,248,0,0,0,0
CAMKK1,float64,248,0,0,0,0
RECQL,float64,248,0,0,0,0
VPS50,float64,248,0,0,0,0
HSPB6,float64,248,0,0,0,0
ARHGAP33,float64,248,0,0,0,0
NDUFAB1,float64,248,0,0,0,0
PDK4,float64,248,0,0,0,0
SLC22A16,float64,248,0,0,0,0
ZMYND10,float64,248,0,0,0,0
ABCB5,float64,248,0,0,0,0
ARX,float64,248,0,0,0,0
SLC25A13,float64,248,0,0,0,0
ST7,float64,248,0,0,0,0
CDC27,float64,248,0,0,0,0
SLC4A1,float64,248,0,0,0,0
CALCR,float64,248,0,0,0,0
HCCS,float64,248,0,0,0,0
DVL2,float64,248,0,0,0,0
PRSS22,float64,248,0,0,0,0
UPF1,float64,248,0,0,0,0
SKAP2,float64,248,0,0,0,0
SLC25A5,float64,248,0,0,0,0
MCUB,float64,248,0,0,0,0
HOXA11,float64,248,0,0,0,0
POLR2J,float64,248,0,0,0,0
DHX33,float64,248,0,0,0,0
MEOX1,float64,248,0,0,0,0
THSD7A,float64,248,0,0,0,0
LIG3,float64,248,0,0,0,0
RPAP3,float64,248,0,0,0,0
ACSM3,float64,248,0,0,0,0
REXO5,float64,248,0,0,0,0
CIAPIN1,float64,248,0,0,0,0
SPPL2B,float64,248,0,0,0,0
ATOSB,float64,248,0,0,0,0
COPZ2,float64,248,0,0,0,0
PRKAR2B,float64,248,0,0,0,0
MSL3,float64,248,0,0,0,0
CREBBP,float64,248,0,0,0,0
TSPOAP1,float64,248,0,0,0,0
MPO,float64,248,0,0,0,0
PON1,float64,248,0,0,0,0
GCFC2,float64,248,0,0,0,0
WDR54,float64,248,0,0,0,0
CROT,float64,248,0,0,0,0
ABCB4,float64,248,0,0,0,0
KMT2E,float64,248,0,0,0,0
RHBDD2,float64,248,0,0,0,0
SOX8,float64,248,0,0,0,0
IBTK,float64,248,0,0,0,0
ZNF195,float64,248,0,0,0,0
MYCBP2,float64,248,0,0,0,0
FBXL3,float64,248,0,0,0,0
ITGAL,float64,248,0,0,0,0
PDK2,float64,248,0,0,0,0
ITGA3,float64,248,0,0,0,0
ZFX,float64,248,0,0,0,0
LAMP2,float64,248,0,0,0,0
ITGA2B,float64,248,0,0,0,0
ASB4,float64,248,0,0,0,0
GDE1,float64,248,0,0,0,0
