Drug,n_cells,IQR,Variance,Abs_Skew,Prot_Missing_Frac,Lineage_Balance,TieBreak_Score
FENBENDAZOLE (BRD:BRD-K51318897-001-15-3),213,0.337676831295196,0.031582997806233214,0.18149437165807095,0.27237674217275726,0.8803635353604435,0.8312278412208459
VINCRISTINE (BRD:BRD-K12251893-065-04-7),232,0.2911177830178334,0.043663372669633944,0.3992458639250882,0.27319893986702837,0.8673448814083451,0.8072807827505208
DASATINIB (BRD:BRD-K49328571-001-15-0),160,0.2986960997546909,0.033981507081669214,0.41321126207925984,0.2700880339765792,0.8613513657910191,0.8060552826092499
ISPINESIB (BRD:BRD-K64881305-001-03-7),164,0.32233139207983263,0.03944727293122118,0.015557792112905245,0.2752792829759074,0.8709998587117924,0.800867014971565
AZD8330 (BRD:BRD-K37687095-001-06-9),242,0.2712759271193935,0.03638205860253732,0.033544880487140605,0.2728421137287135,0.8633565046685924,0.7595554482405161
AS-703026 (BRD:BRD-K89014967-001-04-3),154,0.3103035191227519,0.03691816289156538,0.48831101337699845,0.2738036332791404,0.843544571657031,0.7390720664243982
(+)-CAMPTOTHECIN (BRD:BRD-K37890730-001-15-1),189,0.224796380772706,0.034564787340112015,0.8416394020912943,0.27069823292815204,0.8802652595709011,0.7282928498845664
VOLASERTIB (BRD:BRD-K69776681-001-03-8),169,0.2999135594463166,0.03155877476971686,0.037051300548008,0.27375720614026094,0.8494080775283299,0.7253644683209572
RITA (BRD:BRD-K00317371-001-06-1),215,0.25461532857086855,0.0362997565569729,0.9721880650815218,0.27221192977611053,0.8625835333829222,0.7116388719761378
BAY 869766 (BRD:BRD-K85751432-001-03-3),189,0.23221252445860308,0.0283206515890176,0.4074290495764148,0.2718348871243478,0.8776549224647702,0.6941607175915029
OLVEREMBATINIB (BRD:BRD-K35329391-334-01-7),235,0.2533457304674599,0.025413528706372885,0.0061074219165204715,0.27338021694196746,0.8760054516949207,0.686891377755892
BEZ235 (BRD:BRD-K12184916-001-19-6),184,0.25607332705777897,0.02775870174995689,0.034722522337247444,0.274021326793308,0.8733942343864182,0.6867813274624457
RO-4987655 (BRD:BRD-K64538373-001-01-4),228,0.22015896382493705,0.030535981130137016,0.4856162128103754,0.2722369072111253,0.879876609311476,0.6866603279023856
PD 0325901 (BRD:BRD-K49865102-001-08-4),218,0.24108539180643818,0.02516042235434966,0.5027961830695555,0.27259077847736385,0.8789874049318629,0.6698396654340715
DOCETAXEL (BRD:BRD-K30577245-001-05-0),177,0.23141299948176808,0.02622451807318634,0.07171704064303762,0.2721839703825463,0.8638318692276541,0.6685014685580719
TALAZOPARIB (BRD:BRD-K95142244-001-01-5),158,0.22707714654810074,0.025808000622533887,0.7522237724941913,0.27252561187697943,0.8920613642588185,0.6684640171168427
AMG900 (BRD:BRD-K21728777-001-02-3),226,0.22745931762738425,0.027846527710605515,0.06332217372106363,0.27378710851691457,0.8765198386355051,0.6639052661870588
RIGOSERTIB (BRD:BRD-K55187425-236-05-2),182,0.24689260265198643,0.023872252417985,0.02784857820720915,0.27405148867296314,0.8792306775503921,0.6627509076570413
BENZETHONIUM (BRD:BRD-K72723676-003-17-8),194,0.22651332720433304,0.026167847741669418,0.8242884190263722,0.27251573257429296,0.8786049374640549,0.6470899159285848
LITRONESIB (BRD:BRD-K83029223-001-01-3),175,0.23518640990434825,0.02718146982409597,0.28043210420136266,0.2726976272943616,0.8454739896673598,0.6328125094665016
SEPANTRONIUM BROMIDE (BRD:BRD-K76703230-004-04-1),242,0.24751142172468127,0.02451496610867105,0.7073888460487087,0.2736296435635197,0.8697886971601496,0.6320694761910419
OLIGOMYCIN-A (BRD:BRD-A81541225-001-06-8),177,0.182851022525292,0.03186550481557748,0.20719425661885577,0.27468268677940005,0.8765745739310762,0.6166429437236793
LY2090314 (BRD:BRD-K78055238-001-01-8),227,0.25270039883549955,0.0232677394820543,0.6955472160321957,0.27453187929094003,0.8690903746479609,0.6136868566577272
MLN0128 (BRD:BRD-K59317601-001-05-5),215,0.23594719248541185,0.022940149495778,0.14144398018937113,0.2741765723469462,0.8582214615704534,0.6072406122786624
ELESCLOMOL (BRD:BRD-K82135108-001-04-3),201,0.20644874232061816,0.02088058552723621,0.10415431962176154,0.27307139053208307,0.8716056305105033,0.6046887931310316
PEVONEDISTAT (BRD:BRD-K67844266-003-01-9),165,0.2072065392295238,0.01991246835651836,0.4160961132758182,0.2730331519049975,0.8824545384842001,0.6035585358875959
RAPAMYCIN (BRD:BRD-K84937637-001-09-9),225,0.21054635758512302,0.028524245721850434,0.42508790930453616,0.2743683911521616,0.8609655782307389,0.6006522265997515
SNS-314 (BRD:BRD-K71512533-066-02-8),211,0.21597432288453255,0.02292506826677397,0.2884232726633117,0.2738903441197599,0.8657432299492253,0.5956180058830354
MAYTANSINOL-ISOBUTYRATE (BRD:BRD-K15898725-001-01-7),150,0.22169282619208192,0.02468682804236451,0.9983911231379198,0.27639067568310516,0.9006234602381933,0.5888258819693135
TAK-733 (BRD:BRD-K26667523-001-02-5),227,0.19092865433134998,0.019356897821780905,0.28086599321887307,0.2720418716545291,0.8697954123502486,0.5874500265926647
AUY (BRD:BRD-K41859756-001-06-8),200,0.2037240585571084,0.020133463078473624,0.6081322505127956,0.2729972785749629,0.8756041184275812,0.5834356598879336
PACLITAXEL (BRD:BRD-K62008436-001-23-9),176,0.20624084037465662,0.020416375033465536,0.2025083256183484,0.2729367212451082,0.8562517442299824,0.5772555877136585
IRINOTECAN (BRD:BRD-K08547377-001-04-4),172,0.19634665854671018,0.02138672875799196,0.3053211105186012,0.27368780901311424,0.870247268220168,0.5750517764823921
TOSEDOSTAT (BRD:BRD-K92241597-001-06-0),241,0.18917330388816606,0.01837024628933469,0.01824107973604553,0.27300652964070893,0.8674572154072755,0.5700549153625323
PF-03758309 (BRD:BRD-K37764012-001-04-1),171,0.16820743028413548,0.025451217041820844,0.5511232219895532,0.27231949520290355,0.861698456217444,0.5696386432611764
SN38 (BRD:BRD-K89561498-001-01-7),165,0.18090593063270602,0.019547741914919595,0.8369410347738727,0.27151825029113497,0.872953608966551,0.5683621458428894
DEFOROLIMUS (BRD:BRD-K62304154-001-04-2),234,0.190477628669939,0.01890161283825164,0.028899503908142405,0.27373334968584845,0.8711168110539627,0.5664324506348928
PF-477736 (BRD:BRD-K03063480-001-06-6),234,0.19276423729681968,0.01901131332982518,0.4016436449810527,0.27327977884633003,0.8739616123665589,0.5662301892048253
BINIMETINIB (BRD:BRD-K82244583-001-01-3),220,0.21505646181882054,0.020724363189355003,0.7069070101093607,0.2740834870226261,0.8688293396596263,0.5653489759123427
AT13387 (BRD:BRD-K58435339-001-03-0),197,0.1989615308774889,0.01698378869420339,0.2705728958048186,0.2734636569823955,0.8736663991007558,0.5629971216806504
XL-647 (BRD:BRD-K03765900-001-01-9),214,0.18682918588049524,0.017893622595097563,0.7885299436706571,0.2718434629536286,0.8724304206481331,0.5606217046227088
TIPIFARNIB (BRD:BRD-K62965247-001-04-9),232,0.17866048470160278,0.01635216208700647,0.14810873186071857,0.27270520170394763,0.8764533294500366,0.5602893656006004
LY2606368 (BRD:BRD-K20463415-300-01-4),236,0.18698160407732956,0.019460962843746266,0.4971707959505765,0.27258279589731543,0.8659369783438092,0.5591731276707602
HESPERADIN (BRD:BRD-K58122457-001-02-2),192,0.17526671910661995,0.01658996436004836,0.10655982272374583,0.2723671415415911,0.8689091956734338,0.5546233680482611
